,value,unit,serialNumber
2020-10-15 05:09:34+00:00,5,%,00158D000192D255
2020-10-15 05:09:59+00:00,62,%,00158D000192D255
2020-10-15 05:16:05+00:00,58,%,00158D000192D255
2020-10-15 05:20:05+00:00,47,%,00158D000192D255
2020-10-15 05:22:05+00:00,55,%,00158D000192D255
2020-10-15 05:24:06+00:00,49,%,00158D000192D255
2020-10-15 05:24:34+00:00,49,%,00158D000192D255
2020-10-15 05:28:07+00:00,44,%,00158D000192D255
2020-10-15 05:39:34+00:00,44,%,00158D000192D255
2020-10-15 05:40:12+00:00,33,%,00158D000192D255
2020-10-15 05:48:16+00:00,29,%,00158D000192D255
2020-10-15 05:54:19+00:00,24,%,00158D000192D255
2020-10-15 05:54:34+00:00,24,%,00158D000192D255
2020-10-15 06:00:26+00:00,20,%,00158D000192D255
2020-10-15 06:09:34+00:00,20,%,00158D000192D255
2020-10-15 06:10:31+00:00,16,%,00158D000192D255
2020-10-15 06:24:34+00:00,16,%,00158D000192D255
2020-10-15 06:31:29+00:00,16,%,00158D000192D255
2020-10-15 06:32:01+00:00,0,%,00158D000192D255
2020-10-15 06:32:53+00:00,0,%,00158D000192D255
2020-10-15 06:34:37+00:00,0,%,00158D000192D255
2020-10-15 06:35:50+00:00,0,%,00158D000192D255
2020-10-15 06:38:03+00:00,0,%,00158D000192D255
2020-10-15 06:53:03+00:00,0,%,00158D000192D255
2020-10-15 07:08:03+00:00,0,%,00158D000192D255
2020-10-15 07:13:00+00:00,15,%,00158D000192D255
2020-10-15 07:21:01+00:00,22,%,00158D000192D255
2020-10-15 07:23:03+00:00,22,%,00158D000192D255
2020-10-15 07:38:03+00:00,22,%,00158D000192D255
2020-10-15 07:53:03+00:00,22,%,00158D000192D255
2020-10-15 08:08:03+00:00,22,%,00158D000192D255
2020-10-15 08:23:03+00:00,22,%,00158D000192D255
2020-10-15 08:38:03+00:00,22,%,00158D000192D255
2020-10-15 08:39:42+00:00,26,%,00158D000192D255
2020-10-15 08:43:44+00:00,22,%,00158D000192D255
2020-10-15 08:47:44+00:00,18,%,00158D000192D255
2020-10-15 08:53:03+00:00,18,%,00158D000192D255
2020-10-15 08:55:45+00:00,13,%,00158D000192D255
2020-10-15 09:08:03+00:00,13,%,00158D000192D255
2020-10-15 09:23:03+00:00,13,%,00158D000192D255
2020-10-15 09:38:03+00:00,13,%,00158D000192D255
2020-10-15 09:40:09+00:00,18,%,00158D000192D255
2020-10-15 09:50:17+00:00,24,%,00158D000192D255
2020-10-15 09:53:03+00:00,24,%,00158D000192D255
2020-10-15 10:08:03+00:00,24,%,00158D000192D255
2020-10-15 10:12:25+00:00,15,%,00158D000192D255
2020-10-15 10:19:46+00:00,15,%,00158D000192D255
2020-10-15 10:24:08+00:00,15,%,00158D000192D255
2020-10-15 10:39:08+00:00,15,%,00158D000192D255
2020-10-15 10:42:02+00:00,15,%,00158D000192D255
2020-10-15 10:42:42+00:00,19,%,00158D000192D255
2020-10-15 10:56:49+00:00,25,%,00158D000192D255
2020-10-15 10:56:55+00:00,25,%,00158D000192D255
2020-10-15 11:00:13+00:00,25,%,00158D000192D255
2020-10-15 11:06:52+00:00,21,%,00158D000192D255
2020-10-15 11:08:30+00:00,21,%,00158D000192D255
2020-10-15 11:12:53+00:00,14,%,00158D000192D255
